UTK - Utirik Airport
OCA - Ocean Reef Club Airport
PQS - Pilot Station Airport
CSE - Crested Butte Airpark
JCY - LBJ Ranch Airport
WLR - Loring Seaplane Base
NUP - Nunapitchuk Airport
PTC - Port Alice Seaplane Base
ICY - Icy Bay Airport
PPV - Port Protection Seaplane Base
KKK - Kalakaket Creek AS Airport
MHS - Dunsmuir Muni-Mott Airport
NIR - Chase Field Industrial Airport
GCT - Grand Canyon Bar Ten Airstrip
ELW - Ellamar Seaplane Base
LVD - Lime Village Airport
HGZ - Hog River Airport
OTN - Ed-Air Airport
TLF - Telida Airport
BZT - Eagle Air Park
HBH - Entrance Island Seaplane Base
FAK - False Island Seaplane Base
BYW - Blakely Island Airport
DRF - Drift River Airport
BDF - Rinkenberger Restricted Landing Area
VRS - Roy Otten Memorial Airfield
GDH - Golden Horn Lodge Seaplane Base
ATT - Atmautluak Airport
LIV - Livengood Camp Airport
PDB - Pedro Bay Airport
KOZ - Ouzinkie Airport
TNK - Tununak Airport
WHD - Hyder Seaplane Base
MNT - Minto Al Wright Airport
TKI - Tokeen Seaplane Base
WKK - Aleknagik / New Airport
WFB - Ketchikan Harbor Seaplane Base
NNK - Naknek Airport
BKF - Lake Brooks Seaplane Base
BCS - Southern Seaplane Airport
SPQ - Catalina Air-Sea Terminal Heliport
TSS - East 34th Street Heliport
QNY - New York Skyports Inc Seaplane Base
BWL - Earl Henry Airport
WYB - Yes Bay Lodge Seaplane Base
CWS - Center Island Airport
TEK - Tatitlek Airport
DUF - Pine Island Airport
SSW - Stuart Island Airpark
FOB - Fort Bragg Airport
PUL - Port of Poulsbo Marina Moorage Seaplane Base
CCD - Century City Heliport
WMK - Meyers Chuck Seaplane Base
AXB - Maxson Airfield
REE - Reese Airpark
WDN - Waldron Airstrip
WWP - Whale Pass Seaplane Float Harbor Facility
CHU - Chuathbaluk Airport
UGS - Ugashik Airport
PSQ - Philadelphia Seaplane Base
KLL - Levelock Airport
SGW - Saginaw Seaplane Base
WTL - Tuntutuliak Airport
TWA - Twin Hills Airport
KCQ - Chignik Lake Airport
AAD - Adado Airport
ABP - Atkamba Airport
AFC - Angeles City Flying Club
ACM - Arica Airport
ADC - Andakombe Airport
ADV - El Daein Airport
DJH - Jebel Ali Seaplane Base
AEE - Adareil Airport
AEK - Aseki Airport
AEQ - Ar Horqin Airport
KHT - Khost International Airport
URZ - Orūzgān Airport
OLR - Salerno Airport
AFK - Kondavattavana Tank Seaplane Base
AFR - Afore Airstrip
AFT - Afutara Aerodrome
RNA - Ulawa Airport
ATD - Uru Harbour Airport
VEV - Barakoma Airport
GEF - Geva Airport
AGG - Angoram Airport
AKS - Gwaunaru'u Airport
BNY - Bellona/Anua Airport
CHY - Choiseul Bay Airport
BAS - Ballalae Airport
FRE - Fera/Maringe Airport
HIR - Honiara International Airport
MBU - Babanakira Airport
AVU - Avu Avu Airport
IRA - Ngorangora Airport
SCZ - Santa Cruz/Graciosa Bay/Luova Airport
MUA - Munda Airport
GZO - Nusatupe Airport
MNY - Mono Airport
PRS - Parasi Airport
RNL - Rennell/Tingoa Airport
EGM - Sege Airport
NNB - Santa Ana Airport
RUS - Marau Airport
VAO - Suavanao Airport
XYA - Yandina Airport
AGK - Kagua Airport
KGE - Kaghau Airport
KUE - Kukudu Airport
KWS - Kwailabesi Airport
AGL - Wanigela Airport
NAZ - Nana Airport
GTA - Gatokae Aerodrome
RIN - Ringi Cove Airport
RBV - Ramata Airport
TLG - Tulaghi Heliport
AGY - Argyle Downs Airport
AHJ - Hongyuan Airport
AHY - Ambatolhy Airport
AIE - Aiome Airport
AIH - Aiambak Airport
AIC - Ailinglaplap Airok Airport
CEX - Chena Hot Springs Airport
SOL - Solomon State Field
HED - Herendeen Bay Airport
TWE - Taylor Airport
KTH - Tikchik Lodge Seaplane Base
NKI - Naukati Bay Seaplane Base
LNI - Point Lonely Short Range Radar Site Airfield
CDL - Candle 2 Airport
AOS - Amook Bay Seaplane Base
BSW - Boswell Bay Airport
AKM - Zakuoma Airport
ALZ - Alitak Seaplane Base
PPE - Mar de Cortés International Airport
AME - Alto Molocue Airport
AMF - Ama Airport
AMU - Amanab Airport
AMY - Ambatomainty Airport
INU - Nauru International Airport
ANZ - Angus Downs Airport
