1-Apr-24	30-Apr-24	562123	562123	562111	140417	0.5
1-Apr-24	30-Apr-24	562123	562123	562111	577201	2.33
1-Apr-24	30-Apr-24	562123	562123	562111	421302	5.2
1-Apr-24	30-Apr-24	562123	562123	562111	629004	0.37
1-Apr-24	30-Apr-24	562123	562123	562111	680004	0.98
1-Apr-24	30-Apr-24	562123	562123	562111	620003	0.01
1-Apr-24	30-Apr-24	562123	562123	562111	517501	2.53
1-Apr-24	30-Apr-24	562123	562123	562111	586101	1.22
1-Apr-24	30-Apr-24	562123	562123	562111	520004	8.51
1-Apr-24	30-Apr-24	562123	562123	562111	530016	2.4
1-Apr-24	30-Apr-24	562123	562123	562111	534202	1.64
1-Apr-24	30-Apr-24	421302	421302	400057	400057	0.15
1-Apr-24	30-Apr-24	403002	403002	421302	400057	1.72
1-Apr-24	30-Apr-24	600006	600006	600067	560067	0.22
1-Apr-24	30-Apr-24	600006	600006	600067	641018	5.07
1-Apr-24	30-Apr-24	600006	600006	600067	629002	0.68
1-Apr-24	30-Apr-24	600006	600006	600067	625016	2.35
1-Apr-24	30-Apr-24	600006	600006	600067	605013	0.73
1-Apr-24	30-Apr-24	600006	600006	600067	680004	0.06
1-Apr-24	30-Apr-24	600006	600006	600067	620003	0.71
1-Apr-24	30-Apr-24	110092	110092	110017	110085	0.88
1-Apr-24	30-Apr-24	683511	683511	600067	683511	0.08
1-Apr-24	30-Apr-24	683511	683511	600067	629004	0.39
1-Apr-24	30-Apr-24	683511	683511	600067	680004	0.51
1-Apr-24	30-Apr-24	125001	125001	110017	110085	0.01
1-Apr-24	30-Apr-24	700017	700017	711302	756001	18.19
1-Apr-24	30-Apr-24	700017	700017	711302	751003	83.49
1-Apr-24	30-Apr-24	700017	700017	711302	712136	7.65
1-Apr-24	30-Apr-24	700017	700017	711302	753014	25.05
1-Apr-24	30-Apr-24	700017	700017	711302	781005	14.23
1-Apr-24	30-Apr-24	700017	700017	711302	711303	35.52
1-Apr-24	30-Apr-24	700017	700017	711302	795001	22.37
1-Apr-24	30-Apr-24	700017	700017	711302	700017	7.08
1-Apr-24	30-Apr-24	700017	700017	711302	800020	15.23
1-Apr-24	30-Apr-24	700017	700017	711302	834001	19.93
1-Apr-24	30-Apr-24	500078	500078	520001	500078	2.73
1-Apr-24	30-Apr-24	500078	500078	520001	524004	0.06
1-Apr-24	30-Apr-24	500078	500078	520001	533101	0.06
1-Apr-24	30-Apr-24	500078	500078	520001	517501	0.03
1-Apr-24	30-Apr-24	500078	500078	520001	534202	0.04
1-Apr-24	30-Apr-24	452010	452010	455001	462001	0.34
1-Apr-24	30-Apr-24	452010	452010	455001	452010	0.3
1-Apr-24	30-Apr-24	302013	302013	562111	560067	0.01
1-Apr-24	30-Apr-24	302013	302013	302003	462001	0.2
1-Apr-24	30-Apr-24	302013	302013	302003	226004	0.01
1-Apr-24	30-Apr-24	700017	700017	711303	560067	0.01
1-Apr-24	30-Apr-24	136118	136118	122413	110085	0.02
